GID,SYMBOL
fpoB:MM_2490,MM_2490
MM_2582,MM_2582
fpoF:MM_0627,MM_0627
fpoK:MM_2483,MM_2483
fpoO:MM_2479,MM_2479
fpoD:MM_2488,MM_2488
fpoM:MM_2481,MM_2481
fpoL:MM_2482,MM_2482
fpoC:MM_2489,MM_2489
fpoN:MM_2480,MM_2480
mtrA:MM_1543,MM_1543
ackA:ack:MM_0495,MM_0495
mtrF:MM_1542,MM_1542
cdhA1:MM_2089,MM_2089
cdhA2:MM_0684,MM_0684
atpA:ahaA:MM_0780,MM_0780
thrS:MM_3304,MM_3304
fpoA:MM_2491,MM_2491
fpoH:MM_2487,MM_2487
fpoI:MM_2486,MM_2486
fpoJ:MM_2485,MM_2485
coaBC:MM_2283,MM_2283
dadD:MM_2279,MM_2279
nnrE:nnrD:MM_2208,MM_2208
hdrD:MM_1844,MM_1844
glnA1:MM_0964,MM_0964
glnK1:MM_0732,MM_0732
hppA1:MM_0700,MM_0700
MM_0603,MM_0603
MM_0602,MM_0602
argJ:MM_0474,MM_0474
pyrG:MM_0118,MM_0118
mtrC:MM_1545,MM_1545
dnaJ:MM_2504,MM_2504
grpE:MM_2506,MM_2506
carB:MM_0038,MM_0038
aksA:MM_2785,MM_2785
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,MM_1436
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,MM_1437
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,MM_3335
mtmB1:MM_1436/MM_1437:mtmB2:MM_3335/MM_3336,MM_3336
mttB1:MM_1688/MM_1689,MM_1688
mttB1:MM_1688/MM_1689,MM_1689
mttB2:MM_2048/MM_2049,MM_2048
mttB2:MM_2048/MM_2049,MM_2049
mtmC1:MM_1438,MM_1438
mtbA:MM_1439,MM_1439
pyrH:MM_1611,MM_1611
rpo12:rpoP:MM_2626,MM_2626
mtrE:MM_1547,MM_1547
mtrD:MM_1546,MM_1546
mtrB:MM_1544,MM_1544
mtrG:MM_1541,MM_1541
atpE:ahaE:MM_0783,MM_0783
atpC:ahaC:MM_0782,MM_0782
atpF:ahaF:MM_0781,MM_0781
atpB:ahaB:MM_0779,MM_0779
atpD:ahaD:MM_0778,MM_0778
uvrA:MM_3291,MM_3291
uvrB:MM_3289,MM_3289
thiE:MM_3235,MM_3235
thiM:MM_3234,MM_3234
hcp:MM_3213,MM_3213
taw2:MM_3150,MM_3150
lon:MM_3118,MM_3118
topA:MM_3076,MM_3076
gpmA:MM_2993,MM_2993
mptE:MM_2968,MM_2968
ileS:MM_2967,MM_2967
purP2:MM_2913,MM_2913
serC:MM_2911,MM_2911
dbh2:MM_2876,MM_2876
eno:MM_2836,MM_2836
rnhB:MM_2814,MM_2814
pheT:MM_2812,MM_2812
purQ:MM_2807,MM_2807
purS:MM_2806,MM_2806
mobA:MM_2793,MM_2793
nadK:MM_2784,MM_2784
gap:MM_2782,MM_2782
lig2:MM_2714,MM_2714
rpl37ae:MM_2625,MM_2625
rsgA:MM_2561,MM_2561
rsmA:ksgA:MM_2539,MM_2539
thiI:MM_2517,MM_2517
MM_2499,MM_2499
cofH2:MM_2496,MM_2496
cofH1:MM_2495,MM_2495
cofG:MM_2494,MM_2494
rpl7ae:MM_2467,MM_2467
ndk:MM_2464,MM_2464
pdxT:MM_2433,MM_2433
pdxS:MM_2432,MM_2432
mtsA:MM_2427,MM_2427
gyrA:MM_2420,MM_2420
gyrB:MM_2419,MM_2419
top6A:MM_2418,MM_2418
top6B:MM_2417,MM_2417
MM_2379,MM_2379
leuC:MM_2373,MM_2373
aroK:MM_2362,MM_2362
gatD:MM_2306,MM_2306
cooS2:MM_2301,MM_2301
rlmE:rrmJ:MM_2288,MM_2288
MM_2281,MM_2281
rpo5:rpoH:MM_2274,MM_2274
rpo1N:rpoA1:MM_2271,MM_2271
MM_2224,MM_2224
moaC:MM_2206,MM_2206
prs:MM_2205,MM_2205
mre11:MM_2193,MM_2193
rpo3:rpoD:MM_2158,MM_2158
truB:MM_2154,MM_2154
cmk:MM_2153,MM_2153
adk:MM_2148,MM_2148
iorA:MM_2093,MM_2093
cdhC2:MM_2087,MM_2087
cdhE2:MM_2084,MM_2084
pyrF:MM_2083,MM_2083
MM_2077,MM_2077
MM_2075,MM_2075
nadA:MM_2073,MM_2073
nadX:MM_2072,MM_2072
cobS:MM_2057,MM_2057
hisH:MM_2030,MM_2030
hisI:MM_2019,MM_2019
pstB:MM_2009,MM_2009
MM_1976,MM_1976
nrpRII:MM_1969,MM_1969
tyrS:MM_1963,MM_1963
lysS2:MM_1916,MM_1916
MM_1910,MM_1910
lig1:MM_1895,MM_1895
lysA:MM_1885,MM_1885
rpo11:rpoL:MM_1880,MM_1880
hpt:MM_1876,MM_1876
cofD:MM_1874,MM_1874
dmrX:MM_1854,MM_1854
hdrE:MM_1843,MM_1843
rpl44e:MM_1809,MM_1809
groEL:groL:MM_1798,MM_1798
fni:MM_1764,MM_1764
mvk:MM_1762,MM_1762
rpo10:rpoN:MM_1758,MM_1758
pyrK:MM_1746,MM_1746
pyrD:MM_1745,MM_1745
hemC:MM_1744,MM_1744
hemA:MM_1741,MM_1741
aroC:MM_1712,MM_1712
ribB:MM_1710,MM_1710
ribK:MM_1709,MM_1709
nrpA:MM_1708,MM_1708
hisF:MM_1704,MM_1704
MM_1685,MM_1685
aroA:MM_1627,MM_1627
MM_1618,MM_1618
rnp4:MM_1556,MM_1556
hisG:MM_1503,MM_1503
mat:MM_1502,MM_1502
map:MM_1499,MM_1499
truA:MM_1495,MM_1495
purP1:MM_1493,MM_1493
alaS:MM_1486,MM_1486
pheS:MM_1470,MM_1470
pylS:MM_1445,MM_1445
pylC:MM_1443,MM_1443
ppa:MM_1441,MM_1441
cofE:MM_1421,MM_1421
purM:MM_1416,MM_1416
argD:MM_1406,MM_1406
mptD:MM_1404,MM_1404
asd:MM_1402,MM_1402
cbiA:cfbB:MM_1394,MM_1394
moaA:MM_1393,MM_1393
sepS:MM_1383,MM_1383
ppk:MM_1375,MM_1375
thiL:MM_1365,MM_1365
taw1:MM_1346,MM_1346
polB:MM_1345,MM_1345
cheB2:MM_1326,MM_1326
mfnA:MM_1317,MM_1317
dnaG:MM_1295,MM_1295
nth:MM_1280,MM_1280
fae-hps:MM_1279,MM_1279
tpiA:MM_1278,MM_1278
aroE:MM_1274,MM_1274
aroD:MM_1273,MM_1273
aroA:MM_1271,MM_1271
rbcL:MM_1249,MM_1249
polC:MM_1246,MM_1246
MM_1240,MM_1240
aroA:MM_1238,MM_1238
argB:MM_1220,MM_1220
dapB:MM_1202,MM_1202
dapA:MM_1201,MM_1201
MM_1166,MM_1166
tgtA:MM_1101,MM_1101
nrpRI:MM_1085,MM_1085
ilvE:MM_1045,MM_1045
smc:MM_1031,MM_1031
thiC2:MM_1025,MM_1025
ogt:MM_1020,MM_1020
pan:MM_1006,MM_1006
hdrB:MM_0980,MM_0980
hdrC:MM_0979,MM_0979
MM_0943,MM_0943
ablA:MM_0934,MM_0934
fen:MM_0906,MM_0906
gpmI:MM_0904,MM_0904
nth:MM_0895,MM_0895
dbh1:MM_0886,MM_0886
metG:MM_0867,MM_0867
serS:MM_0865,MM_0865
purL:MM_0860,MM_0860
proB:MM_0818,MM_0818
MM_0814,MM_0814
purA:MM_0801,MM_0801
MM_0789,MM_0789
queE:MM_0755,MM_0755
queC:MM_0753,MM_0753
nifH:MM_0719,MM_0719
hppA2:MM_0701,MM_0701
psmB:MM_0694,MM_0694
cdhE1:MM_0689,MM_0689
cdhC1:MM_0686,MM_0686
MM_0669,MM_0669
ilvC:MM_0668,MM_0668
fcl:MM_0658,MM_0658
hacB:MM_0645,MM_0645
mer:MM_0628,MM_0628
uppS:MM_0618,MM_0618
rpo7:rpoE:MM_0596,MM_0596
eif2g:MM_0594,MM_0594
egsA:MM_0590,MM_0590
cbiX:cfbA:MM_0517,MM_0517
cbiA:cfbB:MM_0513,MM_0513
argC:MM_0476,MM_0476
pfkC:MM_0473,MM_0473
cca:MM_0469,MM_0469
nadE:MM_0446,MM_0446
glyA:MM_0442,MM_0442
folD:MM_0441,MM_0441
hel308:MM_0425,MM_0425
hisD:MM_0424,MM_0424
hacA:MM_0409,MM_0409
purF:MM_0341,MM_0341
cheB1:MM_0329,MM_0329
valS:MM_0314,MM_0314
rnz:MM_0306,MM_0306
glmM:MM_0301,MM_0301
glmS:MM_0300,MM_0300
ilvD:MM_0259,MM_0259
ribL:MM_0242,MM_0242
alaXM:alaX:MM_0233,MM_0233
thi4:MM_0222,MM_0222
thiC1:MM_0182,MM_0182
argF:MM_0145,MM_0145
purD:MM_0144,MM_0144
MM_0128,MM_0128
cooS1:MM_0121,MM_0121
truD:MM_0114,MM_0114
mptN:MM_0111,MM_0111
iscS:MM_0109,MM_0109
MM_0087,MM_0087
aspS:MM_0074,MM_0074
rpiA:MM_0073,MM_0073
hdrA:MM_0056,MM_0056
carA:MM_0039,MM_0039
argG:MM_0037,MM_0037
otaA:MM_0040,MM_0040
vhtA:MM_2170,MM_2170
atpI:ahaI:MM_0785,MM_0785
flpA:fibM:MM_1594,MM_1594
dnaK:MM_2505,MM_2505
tfb:MM_1772,MM_1772
trkA1:trkA:MM_2503,MM_2503
pdaD1:MM_0286,MM_0286
pdaD2:MM_2595,MM_2595
trkA2:trkA:MM_2501,MM_2501
cimA:MM_0671,MM_0671
leuA:MM_1284,MM_1284
mtbB1:MM_2050/MM_2051,MM_2050
mtbB1:MM_2050/MM_2051,MM_2051
mtbB2:MM_2962/MM_2963,MM_2962
mtbB2:MM_2962/MM_2963,MM_2963
mtbB3:MM_1693/MM_1694,MM_1693
mtbB3:MM_1693/MM_1694,MM_1694
mtmC2:MM_3334,MM_3334
mtbC1:MM_2052,MM_2052
mtbC2:MM_2961,MM_2961
mtbC3:MM_1687,MM_1687
mttC1:MM_1690,MM_1690
mttC2:MM_2047,MM_2047
rps10:MM_2263,MM_2263
rps27e:MM_1808,MM_1808
mtrH:MM_1540,MM_1540
cdhB1:MM_2088,MM_2088
cdhB2:MM_0685,MM_0685
atpG:ahaG:MM_0777.1,MM_0777.1
cdhD1:MM_0688:cdhD2:MM_2085,MM_0688
cdhD1:MM_0688:cdhD2:MM_2085,MM_2085
nirH:MM_1728:MM_1739,MM_1728
nirH:MM_1728:MM_1739,MM_1739
MM_3326,MM_3326
trpF2:MM_3314,MM_3314
uvrC:MM_3290,MM_3290
MM_3283,MM_3283
MM_3270,MM_3270
cas1:MM_3249,MM_3249
ppcA:MM_3212,MM_3212
dtdA:MM_3190,MM_3190
MM_3141,MM_3141
htpX2:MM_3134,MM_3134
pncB:MM_3086,MM_3086
MM_3081,MM_3081
MM_3074,MM_3074
MM_3045,MM_3045
MM_3016,MM_3016
MM_3000,MM_3000
MM_2976,MM_2976
MM_2965,MM_2965
MM_2955,MM_2955
ade:MM_2910,MM_2910
MM_2830,MM_2830
trpC:MM_2823,MM_2823
trpB1:MM_2822,MM_2822
trpA:MM_2821,MM_2821
trpD:MM_2820,MM_2820
trpF1:MM_2819,MM_2819
trpE:MM_2818,MM_2818
MM_2805,MM_2805
MM_2791,MM_2791
MM_2788,MM_2788
MM_2777,MM_2777
MM_2740,MM_2740
MM_2733,MM_2733
marC:MM_2731,MM_2731
MM_2723,MM_2723
engB:MM_2715,MM_2715
MM_2713,MM_2713
MM_2705,MM_2705
MM_2675,MM_2675
MM_2657,MM_2657
MM_2656,MM_2656
mch:MM_2653,MM_2653
MM_2645,MM_2645
corA:MM_2640,MM_2640
MM_2634,MM_2634
MM_2629,MM_2629
rrp42:MM_2624,MM_2624
rrp41:MM_2623,MM_2623
rrp4:MM_2622,MM_2622
psmA:MM_2620,MM_2620
rnp2:MM_2619,MM_2619
rnp3:MM_2618,MM_2618
rpl15e:MM_2616,MM_2616
tat:tatC:MM_2586,MM_2586
tatC:MM_2585,MM_2585
tatA:MM_2583,MM_2583
MM_2557,MM_2557
MM_2542,MM_2542
MM_2541,MM_2541
MM_2540,MM_2540
rpo4:rpoF:MM_2537,MM_2537
rpl21e:MM_2536,MM_2536
pus10:MM_2535,MM_2535
trmY:MM_2534,MM_2534
trm1:MM_2528,MM_2528
ef1b:MM_2514,MM_2514
cofC:MM_2497,MM_2497
rps28e:MM_2466,MM_2466
rpl24e:MM_2465,MM_2465
infB:MM_2463,MM_2463
rps6e:MM_2462,MM_2462
mtsB:MM_2428,MM_2428
MM_2423,MM_2423
msrA:MM_2399,MM_2399
MM_2387,MM_2387
hisE:MM_2372,MM_2372
dphB:MM_2355,MM_2355
EIF-1A:eif1a:MM_2339,MM_2339
eIF1A2:MM_2336,MM_2336
MM_2328,MM_2328
eche:MM_2324,MM_2324
hypA:MM_2317,MM_2317
vhoG:MM_2314,MM_2314
vhoA:MM_2313,MM_2313
argH:MM_2307,MM_2307
MM_2294,MM_2294
MM_2292,MM_2292
MM_2282,MM_2282
MM_2278,MM_2278
MM_2273,MM_2273
MM_2272,MM_2272
rpo1C:rpoA2:MM_2270,MM_2270
rpl30e:MM_2269,MM_2269
nusA:MM_2268,MM_2268
rps12:MM_2267,MM_2267
rps7:MM_2266,MM_2266
fusA:MM_2265,MM_2265
tuf:MM_2264,MM_2264
MM_2243,MM_2243
MM_2216,MM_2216
MM_2210,MM_2210
MM_2204,MM_2204
MM_2198,MM_2198
rad50:MM_2194,MM_2194
tbp3:MM_2184,MM_2184
MM_2182,MM_2182
MM_2175,MM_2175
vhtG:MM_2169,MM_2169
rps11:MM_2157,MM_2157
rps4:MM_2156,MM_2156
rps13:MM_2155,MM_2155
purE:MM_2149,MM_2149
secY:MM_2147,MM_2147
rpl15:MM_2146,MM_2146
rpl30:MM_2145,MM_2145
rps5:MM_2144,MM_2144
rpl18:MM_2143,MM_2143
rpl19e:MM_2142,MM_2142
rpl32e:MM_2141,MM_2141
rpl6:MM_2140,MM_2140
rps8:MM_2139,MM_2139
rps14:MM_2138,MM_2138
rpl5:MM_2137,MM_2137
rps4e:MM_2136,MM_2136
rpl24:MM_2135,MM_2135
rpl14:MM_2134,MM_2134
rps17:MM_2133,MM_2133
rnp1:MM_2132,MM_2132
rpl29:MM_2131,MM_2131
rps3:MM_2130,MM_2130
rpl22:MM_2129,MM_2129
rps19:MM_2128,MM_2128
rpl2:MM_2127,MM_2127
rpl23:MM_2126,MM_2126
rpl4:MM_2125,MM_2125
rpl3:MM_2124,MM_2124
iorB:MM_2094,MM_2094
dys1:MM_2082,MM_2082
MM_2070,MM_2070
rps15:MM_2066,MM_2066
hisS:MM_2061,MM_2061
MM_2060,MM_2060
cobD:MM_2059,MM_2059
rps8e:MM_2039,MM_2039
nac:MM_2015,MM_2015
eIF1A1:MM_2014,MM_2014
MM_2013,MM_2013
pyrC:MM_2011,MM_2011
phoU:MM_2010,MM_2010
pstC:MM_2006,MM_2006
MM_2004,MM_2004
MM_1996,MM_1996
MM_1980,MM_1980
MM_1978,MM_1978
MM_1974,MM_1974
MM_1968,MM_1968
mdh:MM_1966,MM_1966
MM_1964,MM_1964
MM_1950,MM_1950
MM_1913,MM_1913
cysS:MM_1911,MM_1911
MM_1894,MM_1894
MM_1881,MM_1881
csl4:MM_1879,MM_1879
dph2:MM_1877,MM_1877
vdcB:ubiX:MM_1871,MM_1871
MM_1836,MM_1836
rfcS:MM_1821,MM_1821
MM_1820,MM_1820
dacZ:MM_1818,MM_1818
pelA:MM_1815,MM_1815
priS:priA:MM_1811,MM_1811
MM_1800,MM_1800
groES:groS:MM_1797,MM_1797
MM_1770,MM_1770
MM_1767,MM_1767
rnj:MM_1766,MM_1766
MM_1763,MM_1763
rps2:MM_1760,MM_1760
rpo6:rpoK:MM_1759,MM_1759
rps9:MM_1757,MM_1757
rpl13:MM_1756,MM_1756
rpl18e:MM_1755,MM_1755
MM_1753,MM_1753
gltX:MM_1749,MM_1749
hemL:MM_1743,MM_1743
MM_1742,MM_1742
MM_1740,MM_1740
nirD:MM_1727,MM_1727
pcm:MM_1706,MM_1706
MM_1699,MM_1699
lysS1:lysS:MM_1696,MM_1696
mutS:MM_1683,MM_1683
mutL:MM_1682,MM_1682
cbiD:MM_1681,MM_1681
MM_1661,MM_1661
mgtE:MM_1660,MM_1660
msrB:MM_1634,MM_1634
dut:MM_1628,MM_1628
MM_1606,MM_1606
MM_1592,MM_1592
MM_1577,MM_1577
fmdB:MM_1569,MM_1569
fmdC:MM_1567,MM_1567
srp19:MM_1557,MM_1557
rtcB:MM_1538,MM_1538
MM_1537,MM_1537
MM_1535,MM_1535
MM_1527,MM_1527
MM_1521,MM_1521
nifS:MM_1517,MM_1517
fdhD:MM_1506,MM_1506
hisB:MM_1505,MM_1505
hisA:MM_1504,MM_1504
leuD:MM_1490,MM_1490
rpl10e:MM_1476,MM_1476
eif2b:MM_1475,MM_1475
trpS:MM_1471,MM_1471
secD:MM_1425,MM_1425
secF:MM_1424,MM_1424
apgM:MM_1418,MM_1418
MM_1417,MM_1417
hisC:MM_1405,MM_1405
MM_1401,MM_1401
MM_1398,MM_1398
pcn:MM_1397,MM_1397
priL:priB:MM_1396,MM_1396
surE:MM_1391,MM_1391
MM_1388,MM_1388
cdc6-2:MM_1378,MM_1378
mutS:mutS2:MM_1374,MM_1374
secG:MM_1372,MM_1372
MM_1371,MM_1371
radB:MM_1369,MM_1369
argS:MM_1348,MM_1348
prf1:MM_1347,MM_1347
cheA:MM_1325,MM_1325
cheD2:MM_1322,MM_1322
ftr:MM_1321,MM_1321
MM_1318,MM_1318
cdc6-1:MM_1314,MM_1314
kptA:MM_1298,MM_1298
rtcA:MM_1297,MM_1297
MM_1287,MM_1287
aroB:MM_1272,MM_1272
guaAA:MM_1270,MM_1270
srp54:MM_1267,MM_1267
MM_1248,MM_1248
MM_1244,MM_1244
MM_1241,MM_1241
thyA:MM_1237,MM_1237
htpX1:MM_1236,MM_1236
gatB:MM_1228,MM_1228
gatA:MM_1227,MM_1227
gatC:MM_1226,MM_1226
mptA:MM_1222,MM_1222
guaAB:MM_1218,MM_1218
recQ:MM_1217,MM_1217
pyrB:MM_1213,MM_1213
pyrI:MM_1212,MM_1212
rps17e:MM_1200,MM_1200
MM_1172,MM_1172
MM_1169,MM_1169
MM_1159,MM_1159
MM_1154,MM_1154
MM_1133,MM_1133
MM_1132,MM_1132
mfnB:MM_1114,MM_1114
tmk:MM_1111,MM_1111
mtd:MM_1108,MM_1108
MM_1107,MM_1107
mtaA:MM_1070,MM_1070
MM_1038,MM_1038
MM_1037,MM_1037
tbp2:MM_1028,MM_1028
tbp1:MM_1027,MM_1027
rpl12:MM_1014,MM_1014
rpl10:rplP0:MM_1013,MM_1013
rpl1:MM_1012,MM_1012
rpl11:MM_1011,MM_1011
spt5:MM_1010,MM_1010
secE:MM_1009,MM_1009
ftsZ:MM_1008,MM_1008
cbiT:MM_1000,MM_1000
MM_0990,MM_0990
MM_0967,MM_0967
MM_0941,MM_0941
ablB:MM_0935,MM_0935
eif5a:MM_0922,MM_0922
MM_0921,MM_0921
MM_0905,MM_0905
MM_0898,MM_0898
MM_0887,MM_0887
MM_0856,MM_0856
purC:MM_0855,MM_0855
MM_0852,MM_0852
MM_0842,MM_0842
crcB2:MM_0829,MM_0829
crcB1:MM_0828,MM_0828
MM_0826,MM_0826
MM_0821,MM_0821
proA:MM_0819,MM_0819
proC:MM_0817,MM_0817
ftsY:MM_0810,MM_0810
pfdA:MM_0809,MM_0809
rpl18a:rpl20e:rplX:MM_0808,MM_0808
eif6:MM_0807,MM_0807
rpl31e:MM_0806,MM_0806
rpl39e:MM_0805,MM_0805
rps19e:MM_0802,MM_0802
MM_0798,MM_0798
hypF:MM_0777,MM_0777
MM_0747,MM_0747
nifE:MM_0724,MM_0724
MM_0723,MM_0723
MM_0722,MM_0722
MM_0715,MM_0715
proS:MM_0707,MM_0707
ftsZ:MM_0697,MM_0697
tfe:MM_0692,MM_0692
pfdB:MM_0674,MM_0674
MM_0670,MM_0670
MM_0666,MM_0666
MM_0661,MM_0661
MM_0660,MM_0660
gmd:MM_0659,MM_0659
MM_0647,MM_0647
MM_0646,MM_0646
mntP:MM_0643,MM_0643
MM_0639,MM_0639
MM_0626,MM_0626
MM_0625,MM_0625
MM_0612,MM_0612
rps27ae:MM_0600,MM_0600
rps24e:MM_0599,MM_0599
MM_0598,MM_0598
spt4:MM_0597,MM_0597
phoU:MM_0576,MM_0576
MM_0561,MM_0561
cas1:MM_0559,MM_0559
cas2:MM_0558,MM_0558
MM_0557,MM_0557
endA:MM_0512,MM_0512
hflX:MM_0510,MM_0510
MM_0486,MM_0486
pgk:MM_0485,MM_0485
MM_0468,MM_0468
cbiM:MM_0465,MM_0465
cbiN:MM_0464,MM_0464
MM_0462,MM_0462
coaD:MM_0458,MM_0458
radA:MM_0457,MM_0457
MM_0456,MM_0456
tiaS:MM_0445,MM_0445
MM_0444,MM_0444
MM_0431,MM_0431
MM_0429,MM_0429
MM_0418,MM_0418
MM_0387,MM_0387
MM_0357,MM_0357
rpl37e:MM_0340,MM_0340
trpB2:MM_0337,MM_0337
MM_0335,MM_0335
cheA:MM_0328,MM_0328
cheD1:MM_0326,MM_0326
MM_0323,MM_0323
MM_0322,MM_0322
MM_0302,MM_0302
MM_0299,MM_0299
dys2:MM_0287,MM_0287
leuS:MM_0283,MM_0283
MM_0282,MM_0282
mtxH:MM_0256,MM_0256
mtxA:MM_0255,MM_0255
mtxX:MM_0254,MM_0254
rfcL:MM_0253,MM_0253
MM_0245,MM_0245
ribH:MM_0244,MM_0244
MM_0201,MM_0201
MM_0190,MM_0190
rps3ae:MM_0184,MM_0184
MM_0183,MM_0183
cbiZ:MM_0173,MM_0173
pyrE:MM_0142,MM_0142
carS:MM_0141,MM_0141
MM_0133,MM_0133
pth:MM_0112,MM_0112
ala:MM_0097,MM_0097
cobQ:MM_0093,MM_0093
MM_0086,MM_0086
MM_0059,MM_0059
MM_0057,MM_0057
gatE:MM_0050,MM_0050
MM_0028,MM_0028
MM_1855,MM_1855
vhtC:MM_2171,MM_2171
MM_1857,MM_1857
vhoC:MM_2312,MM_2312
otaC:MM_0042,MM_0042
vhtD:MM_2172,MM_2172
MM_0784,MM_0784
MM_1856,MM_1856
MM_0393,MM_0393
MM_1192:MM_3027,MM_1192
MM_1192:MM_3027,MM_3027
MM_0815:MM_0982:MM_1735,MM_0815
MM_0815:MM_0982:MM_1735,MM_0982
MM_0815:MM_0982:MM_1735,MM_1735
MM_1198:MM_2647,MM_1198
MM_1198:MM_2647,MM_2647
MM_0355:MM_1884:MM_2304:MM_2439:MM_2799:MM_2906,MM_0355
MM_0355:MM_1884:MM_2304:MM_2439:MM_2799:MM_2906,MM_1884
MM_0355:MM_1884:MM_2304:MM_2439:MM_2799:MM_2906,MM_2304
MM_0355:MM_1884:MM_2304:MM_2439:MM_2799:MM_2906,MM_2439
MM_0355:MM_1884:MM_2304:MM_2439:MM_2799:MM_2906,MM_2799
